country_txt,date
United States,1970-05-06
United States,1970-05-06
United States,1970-05-06
United States,1970-05-06
United States,1970-05-06
United States,1970-05-07
United States,1970-05-08
United States,1970-05-09
United States,1970-05-09
United States,1970-05-09
East Germany (GDR),1970-05-10
United States,1970-05-10
United States,1970-05-12
United States,1970-05-12
United States,1970-05-13
United States,1970-05-13
United States,1970-05-13
United States,1970-05-13
United States,1970-05-14
United States,1970-05-14
United States,1970-05-14
United States,1970-05-14
Uruguay,1970-05-15
United States,1970-05-15
United States,1970-05-16
United States,1970-05-19
United States,1970-05-20
United States,1970-05-20
United States,1970-05-20
United States,1970-05-21
United States,1970-05-22
United States,1970-05-22
United States,1970-05-22
United States,1970-05-25
United States,1970-05-26
United States,1970-05-26
United States,1970-05-27
United States,1970-05-27
United States,1970-05-27
United States,1970-05-28
United States,1970-05-28
United States,1970-05-28
United States,1970-05-28
Argentina,1970-05-29
Uruguay,1970-05-29
United States,1970-05-29
United States,1970-05-29
United States,1970-05-30
Argentina,1970-06-01
Philippines,1970-06-02
United States,1970-06-02
United States,1970-06-02
United States,1970-06-03
United States,1970-06-04
United States,1970-06-05
Philippines,1970-06-06
United States,1970-06-06
United States,1970-06-06
Jordan,1970-06-07
United States,1970-06-07
United States,1970-06-08
United States,1970-06-08
Venezuela,1970-06-09
Jordan,1970-06-09
Jordan,1970-06-09
United States,1970-06-09
United States,1970-06-09
Jordan,1970-06-10
Brazil,1970-06-11
United States,1970-06-11
Uruguay,1970-06-12
United States,1970-06-12
United States,1970-06-12
United States,1970-06-13
United States,1970-06-13
United States,1970-06-15
United States,1970-06-17
United States,1970-06-18
United States,1970-06-18
United States,1970-06-19
United States,1970-06-19
United States,1970-06-19
United States,1970-06-21
United States,1970-06-23
United States,1970-06-23
United States,1970-06-25
United Kingdom,1970-06-27
United States,1970-06-28
United States,1970-06-29
United States,1970-06-29
United States,1970-06-30
United States,1970-06-30
United States,1970-06-30
United States,1970-06-30
United States,1970-06-30
Brazil,1970-07-01
United States,1970-07-01
United States,1970-07-01
United States,1970-07-02
United States,1970-07-02
United States,1970-07-02
United States,1970-07-02
United States,1970-07-02
United States,1970-07-02
United States,1970-07-03
United States,1970-07-03
United States,1970-07-04
United States,1970-07-04
United States,1970-07-04
United States,1970-07-04
United States,1970-07-04
United States,1970-07-04
United States,1970-07-05
United States,1970-07-07
United States,1970-07-07
United States,1970-07-07
United States,1970-07-07
United States,1970-07-08
United States,1970-07-08
United States,1970-07-09
United States,1970-07-11
United States,1970-07-12
United States,1970-07-14
United States,1970-07-14
United States,1970-07-16
United States,1970-07-16
United States,1970-07-16
United States,1970-07-17
United States,1970-07-18
United States,1970-07-20
Bolivia,1970-07-21
United States,1970-07-21
United States,1970-07-21
United States,1970-07-21
Greece,1970-07-22
United States,1970-07-22
United States,1970-07-22
Nicaragua,1970-07-23
United States,1970-07-23
Brazil,1970-07-24
United States,1970-07-24
United States,1970-07-26
United States,1970-07-26
United States,1970-07-27
United States,1970-07-26
United States,1970-07-26
United States,1970-07-27
United States,1970-07-27
Uruguay,1970-07-28
United States,1970-07-28
United States,1970-07-30
United States,1970-07-30
Uruguay,1970-07-31
Uruguay,1970-07-31
Argentina,1970-07-31
United States,1970-07-31
United States,1970-08-01
Belgium,1970-08-01
United States,1970-08-02
United States,1970-08-05
Argentina,1970-08-06
United States,1970-08-06
United States,1970-08-06
United States,1970-08-07
United States,1970-08-07
United States,1970-08-10
United States,1970-08-15
United States,1970-08-17
United States,1970-08-17
United States,1970-08-18
Uruguay,1970-08-19
United States,1970-08-20
United States,1970-08-20
United States,1970-08-20
Uruguay,1970-08-21
United States,1970-08-21
United States,1970-08-22
United States,1970-08-22
United States,1970-08-24
Mexico,1970-08-25
United States,1970-08-25
United States,1970-08-27
United States,1970-08-28
United States,1970-08-28
United States,1970-08-29
United States,1970-08-29
United States,1970-08-29
United States,1970-08-29
United States,1970-08-30
United States,1970-08-30
Turkey,1970-08-31
United States,1970-09-01
Greece,1970-09-02
United States,1970-09-02
United States,1970-09-02
United States,1970-09-03
United States,1970-09-03
United States,1970-09-04
Uruguay,1970-09-04
United States,1970-09-04
United States,1970-09-04
United States,1970-09-05
United States,1970-09-05
West Germany (FRG),1970-09-06
Switzerland,1970-09-06
Netherlands,1970-09-06
Israel,1970-09-06
United States,1970-09-06
East Germany (GDR),1970-09-09
Argentina,1970-09-09
United States,1970-09-09
United States,1970-09-10
Jordan,1970-09-11
Uruguay,1970-09-11
United Kingdom,1970-09-12
Uruguay,1970-09-14
Uruguay,1970-09-16
Argentina,1970-09-18
United States,1970-09-18
United States,1970-09-20
United States,1970-09-23
Uruguay,1970-09-23
United States,1970-09-24
United States,1970-09-25
Uruguay,1970-09-26
United States,1970-09-26
United States,1970-09-27
United States,1970-10-01
Turkey,1970-10-02
United States,1970-10-02
United States,1970-10-02
Turkey,1970-10-03
Canada,1970-10-05
United States,1970-10-05
United States,1970-10-05
Turkey,1970-10-06
United States,1970-10-06
United States,1970-10-08
United States,1970-10-08
United States,1970-10-08
United States,1970-10-08
Uruguay,1970-10-08
West Germany (FRG),1970-10-08
United States,1970-10-09
Canada,1970-10-10
Iran,1970-10-10
United States,1970-10-10
United States,1970-10-14
United States,1970-10-15
Uruguay,1970-10-15
Uruguay,1970-10-15
Uruguay,1970-10-15
Uruguay,1970-10-15
United States,1970-10-15
United States,1970-10-18
United States,1970-10-19
Argentina,1970-10-20
United States,1970-10-20
Australia,1970-10-21
United States,1970-10-21
United States,1970-10-22
United States,1970-10-24
Italy,1970-10-24
United States,1970-10-24
United States,1970-10-24
United States,1970-10-25
United States,1970-10-26
Argentina,1970-10-27
Turkey,1970-10-27
United Kingdom,1970-10-27
United States,1970-10-28
United States,1970-10-28
United States,1970-10-29
United States,1970-10-30
United States,1970-10-30
United States,1970-10-30
United States,1970-10-30
Pakistan,1970-11-01
United States,1970-11-01
United States,1970-11-01
United States,1970-11-01
United States,1970-11-01
Argentina,1970-11-02
Argentina,1970-11-02
United States,1970-11-07
United States,1970-11-07
United States,1970-11-08
West Germany (FRG),1970-11-09
Turkey,1970-11-10
United States,1970-11-12
United States,1970-11-14
United States,1970-11-14
United States,1970-11-14
United States,1970-11-14
Argentina,1970-11-15
United States,1970-11-15
United States,1970-11-18
Argentina,1970-11-20
Argentina,1970-11-20
Argentina,1970-11-20
Turkey,1970-11-21
United States,1970-11-21
United States,1970-11-21
Philippines,1970-11-22
United States,1970-11-22
United States,1970-11-23
United States,1970-11-25
United States,1970-11-25
United States,1970-11-25
United States,1970-11-25
Uruguay,1970-11-28
West Germany (FRG),1970-11-29
Uruguay,1970-11-29
Spain,1970-12-01
Uruguay,1970-12-01
Uruguay,1970-12-01
United States,1970-12-01
Brazil,1970-12-07
United States,1970-12-11
Uruguay,1970-12-11
Uruguay,1970-12-13
United States,1970-12-14
United States,1970-12-14
United States,1970-12-15
United States,1970-12-15
Uruguay,1970-12-16
Uruguay,1970-12-16
United States,1970-12-16
Uruguay,1970-12-17
United States,1970-12-18
United States,1970-12-22
Turkey,1970-12-24
United States,1970-12-27
Turkey,1970-12-29
Argentina,1970-12-29
Spain,1970-12-30
United States,1970-12-31
United States,1971-01-01
United States,1971-01-05
United States,1971-01-05
United States,1971-01-06
Turkey,1971-01-07
Uruguay,1971-01-08
United States,1971-01-08
United States,1971-01-09
United States,1971-01-09
Uruguay,1971-01-11
United States,1971-01-11
United States,1971-01-12
United States,1971-01-13
Zambia,1971-01-15
United States,1971-01-15
United States,1971-01-15
United States,1971-01-17
United States,1971-01-19
United States,1971-01-19
United States,1971-01-19
Turkey,1971-01-22
Turkey,1971-01-22
Ethiopia,1971-01-22
Argentina,1971-01-24
United States,1971-01-24
Turkey,1971-01-25
United States,1971-01-26
Uruguay,1971-01-27
Uruguay,1971-01-27
Uruguay,1971-01-27
Dominican Republic,1971-01-28
Dominican Republic,1971-01-28
West Germany (FRG),1971-01-29
United States,1971-01-29
Turkey,1971-02-02
United States,1971-02-04
United States,1971-02-05
Turkey,1971-02-08
United States,1971-02-09
Turkey,1971-02-10
Sweden,1971-02-10
United States,1971-02-10
Venezuela,1971-02-11
Turkey,1971-02-12
United States,1971-02-12
United States,1971-02-13
United States,1971-02-14
Turkey,1971-02-15
United States,1971-02-16
United States,1971-02-16
United States,1971-02-16
United States,1971-02-16
United States,1971-02-16
Turkey,1971-02-17
Turkey,1971-02-19
Turkey,1971-02-20
United States,1971-02-20
Venezuela,1971-02-21
Turkey,1971-02-21
United States,1971-02-22
United States,1971-02-26
United States,1971-02-27
United States,1971-02-27
Venezuela,1971-03-01
United States,1971-03-01
United States,1971-03-01
United States,1971-03-01
United States,1971-03-02
United States,1971-03-03
United States,1971-03-03
Turkey,1971-03-04
United States,1971-03-05
United States,1971-03-06
United States,1971-03-06
United States,1971-03-07
United States,1971-03-07
United States,1971-03-08
United States,1971-03-08
United States,1971-03-09
United States,1971-03-11
United States,1971-03-12
Netherlands,1971-03-15
Uruguay,1971-03-15
United States,1971-03-15
United States,1971-03-16
United States,1971-03-17
Spain,1971-03-18
United States,1971-03-18
United States,1971-03-19
United States,1971-03-21
United States,1971-03-23
United States,1971-03-23
United States,1971-03-23
Italy,1971-03-25
Turkey,1971-03-27
United States,1971-03-27
Argentina,1971-03-28
United States,1971-03-30
United States,1971-03-30
Philippines,1971-03-30
United States,1971-03-30
United States,1971-03-31
Jordan,1971-04-02
Spain,1971-04-02
United States,1971-04-02
Spain,1971-04-03
United States,1971-04-03
United States,1971-04-03
United States,1971-04-03
United States,1971-04-05
United States,1971-04-05
United States,1971-04-05
Turkey,1971-04-06
Turkey,1971-04-06
United States,1971-04-06
United States,1971-04-06
Iran,1971-04-07
Sweden,1971-04-07
United States,1971-04-08
Argentina,1971-04-11
United States,1971-04-12
United States,1971-04-14
United States,1971-04-14
United States,1971-04-15
United States,1971-04-17
United States,1971-04-19
Spain,1971-04-19
United States,1971-04-19
United States,1971-04-19
United States,1971-04-20
United States,1971-04-20
United States,1971-04-20
United States,1971-04-22
United States,1971-04-23
United States,1971-04-23
United States,1971-04-23
United States,1971-04-23
United States,1971-04-23
United States,1971-04-24
United States,1971-04-25
United States,1971-04-25
United States,1971-04-26
United States,1971-04-27
United States,1971-04-27
United States,1971-04-28
United States,1971-04-28
Argentina,1971-04-29
United States,1971-04-29
United States,1971-04-29
United States,1971-04-29
United States,1971-04-29
United States,1971-04-30
United States,1971-04-30
United States,1971-05-01
Turkey,1971-05-04
United States,1971-05-04
United States,1971-05-04
United States,1971-05-04
United States,1971-05-05
United States,1971-05-05
United States,1971-05-05
United States,1971-05-05
Venezuela,1971-05-06
United States,1971-05-06
United States,1971-05-06
United States,1971-05-06
United States,1971-05-06
United States,1971-05-07
United States,1971-05-08
United States,1971-05-09
United States,1971-05-09
United States,1971-05-09
Dominican Republic,1971-05-11
United States,1971-05-11
United States,1971-05-11
United States,1971-05-11
United States,1971-05-11
United States,1971-05-12
United States,1971-05-13
Turkey,1971-05-14
Greece,1971-05-15
Turkey,1971-05-17
United States,1971-05-19
United States,1971-05-20
United States,1971-05-21
United States,1971-05-21
Argentina,1971-05-23
United States,1971-05-23
United States,1971-05-25
United States,1971-05-28
Spain,1971-05-29
United States,1971-05-29
United States,1971-06-03
United States,1971-06-05
Spain,1971-06-06
United States,1971-06-06
United States,1971-06-10
South Yemen,1971-06-11
United States,1971-06-11
United States,1971-06-11
Spain,1971-06-12
United States,1971-06-13
United States,1971-06-13
United States,1971-06-15
United States,1971-06-16
United States,1971-06-17
United States,1971-06-18
United States,1971-06-21
United States,1971-06-22
United States,1971-06-22
United States,1971-06-22
United States,1971-06-24
United States,1971-06-24
United States,1971-06-25
United States,1971-06-26
United States,1971-07-01
United States,1971-07-04
United States,1971-07-06
United States,1971-07-08
United States,1971-07-08
United States,1971-07-09
United States,1971-07-09
United States,1971-07-18
United States,1971-07-21
United States,1971-07-24
United States,1971-07-25
Argentina,1971-07-28
United States,1971-07-28
Spain,1971-07-29
United States,1971-07-30
United States,1971-08-11
United States,1971-08-12
United States,1971-08-15
United States,1971-08-15
United States,1971-08-15
United States,1971-08-18
United States,1971-08-22
United States,1971-08-22
United States,1971-08-22
United States,1971-08-22
United States,1971-08-22
United States,1971-08-22
United States,1971-08-22
United States,1971-08-22
United States,1971-08-22
United States,1971-08-22
United States,1971-08-23
United States,1971-08-23
United States,1971-08-23
United States,1971-08-23
United States,1971-08-23
United States,1971-08-23
United States,1971-08-23
Spain,1971-08-24
United States,1971-08-24
Spain,1971-08-24
United States,1971-08-27
United States,1971-08-28
Italy,1971-08-28
United States,1971-08-28
United States,1971-08-28
United States,1971-08-29
United States,1971-08-29
United States,1971-08-29
United States,1971-08-30
United States,1971-09-01
United States,1971-09-02
United States,1971-09-02
United States,1971-09-07
Jordan,1971-09-09
Jordan,1971-09-15
Israel,1971-09-16
United States,1971-09-17
United States,1971-09-18
United States,1971-09-20
United States,1971-09-20
United States,1971-09-24
United States,1971-09-24
United States,1971-09-24
United States,1971-09-24
United States,1971-10-03
Jordan,1971-10-04
United States,1971-10-07
Turkey,1971-10-11
United States,1971-10-11
United States,1971-10-14
United States,1971-10-15
United States,1971-10-18
United States,1971-10-20
United States,1971-10-31
Spain,1971-11-02
United States,1971-11-02
United States,1971-11-03
Brazil,1971-11-03
Brazil,1971-11-03
Brazil,1971-11-03
Turkey,1971-11-04
United States,1971-11-10
United States,1971-11-12
United States,1971-11-15
United States,1971-11-17
United States,1971-11-17
United States,1971-11-17
United States,1971-11-17
United States,1971-11-18
United States,1971-11-18
United States,1971-11-22
Australia,1971-11-23
Egypt,1971-11-28
United States,1971-11-30
United States,1971-12-05
United States,1971-12-06
United States,1971-12-07
United Kingdom,1971-12-15
Switzerland,1971-12-15
United States,1971-12-15
United States,1971-12-20
United States,1971-12-22
Panama,1972-05-25
Spain,1972-01-01
United States,1972-01-05
United States,1972-01-06
United States,1972-01-07
United States,1972-01-07
United States,1972-01-07
United States,1972-01-07
United States,1972-01-07
United States,1972-01-07
United States,1972-01-07
United States,1972-01-07
West Bank and Gaza Strip,1972-01-16
Turkey,1972-01-17
United States,1972-01-17
United States,1972-01-17
United States,1972-01-22
Czechoslovakia,1972-01-26
United States,1972-01-26
United States,1972-01-26
United States,1972-01-26
United States,1972-01-27
United Kingdom,1972-02-01
United States,1972-02-01
United States,1972-02-01
United States,1972-02-01
West Germany (FRG),1972-02-02
Ireland,1972-02-02
Brazil,1972-02-05
Netherlands,1972-02-06
West Germany (FRG),1972-02-08
United States,1972-02-16
Egypt,1972-02-19
West Germany (FRG),1972-02-22
United Kingdom,1972-02-22
India,1972-02-22
Spain,1972-02-28
Spain,1972-03-02
Spain,1972-03-04
United Kingdom,1972-03-04
United Kingdom,1972-03-06
United Kingdom,1972-03-06
United States,1972-03-11
United States,1972-03-16
Argentina,1972-03-21
Turkey,1972-03-26
Philippines,1972-03-27
Philippines,1972-03-28
Sweden,1972-03-29
United States,1972-03-29
Canada,1972-04-04
Canada,1972-04-04
United States,1972-04-05
Argentina,1972-04-10
West Germany (FRG),1972-04-11
United States,1972-04-18
West Germany (FRG),1972-04-23
Turkey,1972-05-02
Turkey,1972-05-03
Turkey,1972-05-04
West Germany (FRG),1972-05-04
Italy,1972-03-15
Turkey,1972-05-07
Austria,1972-05-08
United States,1972-05-09
United States,1972-05-09
West Germany (FRG),1972-05-11
West Germany (FRG),1972-05-12
West Germany (FRG),1972-05-15
United States,1972-05-15
United States,1972-05-15
Spain,1972-05-18
West Germany (FRG),1972-05-19
United States,1972-05-19
United States,1972-05-19
United States,1972-05-20
United States,1972-05-20
United States,1972-05-23
West Germany (FRG),1972-05-24
France,1972-05-25
France,1972-05-25
France,1972-05-25
France,1972-05-25
United States,1972-05-27
United States,1972-05-27
Israel,1972-05-30
Iran,1972-05-31
Iran,1972-05-31
Iran,1972-05-31
United States,1972-06-02
Argentina,1972-06-09
Ireland,1972-06-10
United States,1972-06-14
West Germany (FRG),1972-06-15
South Vietnam,1972-06-15
United States,1972-06-19
Philippines,1972-06-21
Philippines,1972-07-14
Colombia,1972-07-17
Uruguay,1972-07-28
United States,1972-07-31
Italy,1972-08-05
Iran,1972-08-14
Italy,1972-08-16
United States,1972-08-17
United States,1972-08-17
United States,1972-08-18
United States,1972-08-18
United States,1972-08-18
Lebanon,1972-08-22
Iran,1972-08-23
Spain,1972-08-29
Greece,1972-08-29
France,1972-08-30
Cambodia,1972-09-27
Belgium,1972-09-11
United States,1972-09-14
Australia,1972-09-17
United Kingdom,1972-09-19
United States,1972-09-29
France,1972-10-04
Algeria,1972-10-06
United States,1972-10-10
United States,1972-10-10
France,1972-10-13
United States,1972-10-14
Argentina,1972-10-16
Turkey,1972-10-22
United States,1972-10-25
United States,1972-10-26
Lebanon,1972-10-29
Spain,1972-11-02
Jordan,1972-11-03
Jordan,1972-11-03
El Salvador,1972-11-05
Mexico,1972-11-08
Argentina,1972-11-09
France,1972-11-13
El Salvador,1972-11-15
Jordan,1972-11-23
West Germany (FRG),1972-11-24
West Germany (FRG),1972-11-30
United States,1972-12-15
Italy,1972-12-06
Greece,1972-12-07
Australia,1972-12-08
United States,1972-12-11
United States,1972-12-12
West Germany (FRG),1972-12-14
Lebanon,1972-12-20
France,1972-12-23
United States,1972-12-24
United States,1972-12-24
United States,1972-12-25
Argentina,1972-12-27
Argentina,1972-12-27
Argentina,1972-12-27
Thailand,1972-12-28
United States,1972-12-28
United States,1972-12-31
Dominican Republic,1973-01-02
United States,1973-01-02
Greece,1973-01-07
Greece,1973-01-07
United States,1973-01-07
France,1973-01-08
West Germany (FRG),1973-01-10
Austria,1973-01-14
Spain,1973-01-16
Argentina,1973-01-16
Italy,1973-01-17
Lebanon,1973-01-17
United States,1973-01-18
United States,1973-01-18
Argentina,1973-01-22
United States,1973-01-22
Haiti,1973-01-23
Ethiopia,1973-01-23
Iran,1973-01-24
United States,1973-01-25
Spain,1973-01-26
United States,1973-01-27
United States,1973-01-28
France,1973-01-28
Argentina,1973-02-02
Greece,1973-02-02
Argentina,1973-02-05
United States,1973-02-09
Argentina,1973-02-14
United States,1973-02-15
United States,1973-02-27
Spain,1973-03-02
Morocco,1973-03-03
Lebanon,1973-03-04
United States,1973-03-04
United States,1973-03-04
United States,1973-03-04
United States,1973-03-06
United Kingdom,1973-03-08
United States,1973-03-12
France,1973-03-15
France,1973-03-15
West Germany (FRG),1973-03-21
Greece,1973-03-22
Belgium,1973-03-23
Argentina,1973-03-26
United States,1973-03-27
Argentina,1973-03-28
Argentina,1973-03-28
United States,1973-03-28
United States,1973-03-29
Argentina,1973-04-02
Argentina,1973-04-02
Argentina,1973-04-04
France,1973-04-04
France,1973-04-04
Argentina,1973-04-05
Italy,1973-04-05
Italy,1973-04-06
Argentina,1973-04-08
Cyprus,1973-04-09
Italy,1973-04-09
Cyprus,1973-04-09
Cyprus,1973-04-09
United States,1973-04-10
Italy,1973-04-12
Lebanon,1973-04-14
Myanmar,1973-04-16
Lebanon,1973-04-16
United States,1973-04-16
Argentina,1973-04-17
Greece,1973-04-21
United Kingdom,1973-04-22
West Germany (FRG),1973-04-23
United States,1973-04-24
United States,1973-04-24
Japan,1973-04-25
Argentina,1973-04-26
Italy,1973-04-27
El Salvador,1973-04-29
Lebanon,1973-04-29
Argentina,1973-04-30
Argentina,1973-04-30
Lebanon,1973-04-30
Spain,1973-05-01
Afghanistan,1973-05-01
United States,1973-05-01
Argentina,1973-05-01
Spain,1973-05-01
Spain,1973-05-02
Lebanon,1973-05-02
Mexico,1973-05-04
United Kingdom,1973-05-04
Morocco,1973-05-05
Greece,1973-05-07
Greece,1973-05-07
United States,1973-05-08
Dominican Republic,1973-05-09
Greece,1973-05-13
Brazil,1973-05-18
United States,1973-05-18
Venezuela,1973-05-18
United States,1973-05-19
Argentina,1973-05-21
Argentina,1973-05-21
Argentina,1973-05-23
Argentina,1973-05-23
Argentina,1973-05-23
France,1973-05-24
Greece,1973-05-26
Colombia,1973-05-30
Iran,1973-06-02
United Kingdom,1973-06-02
United States,1973-06-05
West Germany (FRG),1973-06-09
United States,1973-06-20
France,1973-06-28
Argentina,1973-06-28
United States,1973-07-01
Peru,1973-07-04
Argentina,1973-07-04
Argentina,1973-07-06
West Germany (FRG),1973-07-07
Argentina,1973-07-08
United States,1973-07-18
Netherlands,1973-07-20
Peru,1973-07-22
Peru,1973-07-22
United States,1973-07-24
Argentina,1973-07-25
Chile,1973-07-25
Chile,1973-07-27
West Germany (FRG),1973-07-29
France,1973-08-02
Yugoslavia,1973-08-04
West Germany (FRG),1973-08-05
Greece,1973-08-05
Ecuador,1973-08-12
Chile,1973-08-15
Chile,1973-08-15
New Zealand,1973-08-15
Argentina,1973-08-20
Chile,1973-08-27
United States,1973-08-27
Argentina,1973-08-28
United States,1973-08-28
Japan,1973-08-29
United States,1973-09-04
Argentina,1973-09-05
Italy,1973-09-05
France,1973-09-05
Argentina,1973-09-06
West Germany (FRG),1973-09-07
Italy,1973-09-10
Zambia,1973-09-11
Argentina,1973-09-11
West Germany (FRG),1973-09-15
Zaire,1973-09-17
Portugal,1973-09-17
United States,1973-09-18
West Germany (FRG),1973-09-23
Argentina,1973-09-24
Lebanon,1973-09-24
United States,1973-09-26
Austria,1973-09-28
Dominican Republic,1973-09-28
Italy,1973-09-28
United States,1973-09-28
West Germany (FRG),1973-09-29
Brazil,1973-10-01
Colombia,1973-10-04
West Germany (FRG),1973-10-04
Argentina,1973-10-05
Italy,1973-10-05
Italy,1973-10-07
Argentina,1973-10-08
Argentina,1973-10-09
Argentina,1973-10-09
Argentina,1973-10-09
Mexico,1973-10-10
Mexico,1973-10-10
Argentina,1973-10-14
Lebanon,1973-10-18
United States,1973-10-18
Malaysia,1973-10-19
United States,1973-10-20
United States,1973-10-22
United States,1973-10-26
United States,1973-10-29
United States,1973-11-01
United States,1973-11-04
United States,1973-11-06
France,1973-11-06
Argentina,1973-11-07
Argentina,1973-11-17
West Germany (FRG),1973-11-17
West Germany (FRG),1973-11-18
West Germany (FRG),1973-11-19
Venezuela,1973-11-20
Argentina,1973-11-21
Argentina,1973-11-22
Lebanon,1973-11-25
United States,1973-11-25
Mexico,1973-11-26
United States,1973-11-26
Argentina,1973-11-30
Greece,1973-12-03
Mexico,1973-12-03
United States,1973-12-03
West Germany (FRG),1973-12-04
Israel,1973-12-04
Argentina,1973-12-06
Chile,1973-12-08
Argentina,1973-12-11
United States,1973-12-11
United States,1973-12-13
United States,1973-12-13
France,1973-12-14
Venezuela,1973-12-15
United Kingdom,1973-12-17
Italy,1973-12-17
United Kingdom,1973-12-18
